Symbol,Security Name
BMETRICS,BOMBAY METRICS SUPPLY CHAIN LIMITED
BMLL,BIO MEDICA LABORATORIES LIMITED
BMWVENTLTD,BMW VENTURES LIMITED
BNALTD,B & A LIMITED
BNKETFAXIS,AXIS MUTUAL FUND - AXIS NIFTY BANK ETF
BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED
BORANA,BORANA WEAVES LIMITED
BOROLTD,BOROSIL LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
BOROSCI,BOROSIL SCIENTIFIC LIMITED
BPL,BPL LIMITED
BRACEPORT,BRACE PORT LOGISTICS LIMITED
BRIGHOTEL,BRIGADE HOTEL VENTURES LIMITED
BRNL,BHARAT ROAD NETWORK LIMITED
BSE500IETF,ICICI PRUDENTIAL BSE 500 ETF
BSL,BSL LIMITED
BSLGOLDETF,ADITYA BIRLA SUN LIFE GOLD ETF - GROWTH
BSLNIFTY,ADITYA BIRLA SUN LIFE NIFTY 50 ETF
BSLSENETFG,ADITYA BIRLA SUN LIFE BSE SENSEX ETF
BTML,BODHI TREE MULTIMEDIA LIMITED
BUILDPRO,SHANKARA BUILDPRO LIMITED
BUTTERFLY,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED
BVCL,BARAK VALLEY CEMENTS LIMITED
C2C,C2C ADVANCED SYSTEMS LIMITED
CAMLINFINE,CAMLIN FINE SCIENCES LIMITED
CAMPUS,CAMPUS ACTIVEWEAR LIMITED
CANARYS,CANARYS AUTOMATIONS LIMITED
CANTABIL,CANTABIL RETAIL INDIA LIMITED
CAPACITE,CAPACITE INFRAPROJECTS LIMITED
CAPILLARY,CAPILLARY TECHNOLOGIES INDIA LIMITED
CAPINVIT,CAPITAL INFRA TRUST
CAPITALSFB,CAPITAL SMALL FINANCE BANK LIMITED
CARERATING,CARE RATINGS LIMITED
CARRARO,CARRARO INDIA LIMITED
CARYSIL,CARYSIL LIMITED
CCAVENUE,AVENUESAI LIMITED
CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED
CCHHL,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED
CEINSYS,CEINSYS TECH LIMITED
CELEBRITY,CELEBRITY FASHIONS LIMITED
CELLO,CELLO WORLD LIMITED
CELLPOINT,CELL POINT (INDIA) LIMITED
CENTENKA,CENTURY ENKA LIMITED
CENTEXT,CENTURY EXTRUSIONS LIMITED
CENTRUM,CENTRUM CAPITAL LIMITED
CENTUM,CENTUM ELECTRONICS LIMITED
CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED
CERA,CERA SANITARYWARE LIMITED
CEWATER,CONCORD ENVIRO SYSTEMS LIMITED
CGRAPHICS,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED
CHAMUNDA,CHAMUNDA ELECTRICAL LIMITED
CHANDAN,CHANDAN HEALTHCARE LIMITED
CHAVDA,CHAVDA INFRA LIMITED
CHEMICAL,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY CHEMICALS ETF
CHEMPLASTS,CHEMPLAST SANMAR LIMITED
CHEVIOT,CHEVIOT COMPANY LIMITED
CHOICEGOLD,CHOICE MUTUAL FUND - CHOICE GOLD ETF
CIFL,CAPITAL INDIA FINANCE LIMITED
CINELINE,CINELINE INDIA LIMITED
CINEVISTA,CINEVISTA LIMITED
CITIUSINVT,CITIUS TRANSNET INVESTMENT TRUST
CLAYCRAFT,CLAY CRAFT INDIA LIMITED
CLEANMAX,CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED
CLSEL,CHAMAN LAL SETIA EXPORTS LIMITED
CLSL,CROP LIFE SCIENCE LIMITED
CMNL,CHAMAN METALLICS LIMITED
CMPDI,CENTRAL MINE PLANNING & DESIGN INSTITUTE LIMITED
CMSINFO,CMS INFO SYSTEMS LIMITED
CNL,CREATIVE NEWTECH LIMITED
COASTCORP,COASTAL CORPORATION LIMITED
COMFINTE,COMFORT INTECH LIMITED
COMMOIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL NIFTY COMMODITIES ETF
COMPUSOFT,COMPUCOM SOFTWARE LIMITED
COMSYN,COMMERCIAL SYN BAGS LIMITED
CONNPLEX,CONNPLEX CINEMAS LIMITED
CONS,KOTAK NIFTY INDIA CONSUMPTION ETF
CONSOFINVT,CONSOLIDATED FINVEST & HOLDINGS LIMITED
CONSUMAXIS,AXIS MUTUAL FUND - AXIS NIFTY INDIA CONSUMPTION ETF
CONSUMBEES,NIPPON INDIA ETF NIFTY INDIA CONSUMPTION
CONSUMER,MIRAE ASSET MF- MIRAE ASSET NIFTY INDIA NEW AGE CONSUMPTION ETF
CONSUMIETF,ICICI PRUDENTIAL NIFTY INDIA CONSUMPTION ETF
CONTROLPR,CONTROL PRINT LIMITED
CORALFINAC,CORAL INDIA FINANCE & HOUSING LIMITED
COROMANDEL,COROMANDEL INTERNATIONAL LIMITED
CORONA,CORONA REMEDIES LIMITED
COSMOFIRST,COSMO FIRST LIMITED
COUNCODOS,COUNTRY CONDO'S LIMITED
CPEDU,CAREER POINT EDUTECH LIMITED
CPSEETF,CPSE ETF
CRAMC,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED
CREATIVEYE,CREATIVE EYE LIMITED
CREST,CREST VENTURES LIMITED
CRISIL,CRISIL LIMITED
CROWN,CROWN LIFTERS LIMITED
CSBBANK,CSB BANK LIMITED
CSLFINANCE,CSL FINANCE LIMITED
CSSL,CLEAR SECURED SERVICES LIMITED
CUBEINVIT,CUBE HIGHWAYS TRUST
CUBEXTUB,CUBEX TUBINGS LIMITED
CUPID,CUPID LIMITED
CURIS,CURIS LIFESCIENCES LIMITED
CURRENT,CURRENT INFRAPROJECTS LIMITED
CYIENTDLM,CYIENT DLM LIMITED
DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED
DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED
DANISH,DANISH POWER LIMITED
DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED
DAVANGERE,DAVANGERE SUGAR COMPANY LIMITED
DBCORP,D.B.CORP LIMITED
DBL,DILIP BUILDCON LIMITED
DCAL,DISHMAN CARBOGEN AMCIS LIMITED
DCBBANK,DCB BANK LIMITED
DCCL,DAR CREDIT & CAPITAL LIMITED
DCG,DCG CABLES & WIRES LIMITED
DCMSRIND,DCM SHRIRAM INDUSTRIES LIMITED
DCW,DCW LIMITED
DCXINDIA,DCX SYSTEMS LIMITED
DDEVPLSTIK,DDEV PLASTIKS INDUSTRIES LIMITED
DECCANCE,DECCAN CEMENTS LIMITED
DECCANTRAN,DECCAN TRANSCON LEASING LIMITED
DECNGOLD,DECCAN GOLD MINES LIMITED
DEEPINDS,DEEP INDUSTRIES LIMITED
DEFENCE,MIRAE ASSET MUTUAL FUND - MIRAE ASSET BSE INDIA DEFENCE ETF
DELAPLEX,DELAPLEX LIMITED
DELTACORP,DELTA CORP LIMITED
DELTAMAGNT,DELTA MANUFACTURING LIMITED
DEN,DEN NETWORKS LIMITED
DENORA,DE NORA INDIA LIMITED
DENTA,DENTA WATER AND INFRA SOLUTIONS LIMITED
DENTALKART,VASA DENTICITY LIMITED
DEVIT,DEV INFORMATION TECHNOLOGY LIMITED
DEVX,DEV ACCELERATOR LIMITED
DGCONTENT,DIGICONTENT LIMITED
DHAMPURSUG,DHAMPUR SUGAR MILLS LIMITED
DHANBANK,DHANLAXMI BANK LIMITED
DHANLAXMI,DHANLAXMI CROP SCIENCE LIMITED
DHANUKA,DHANUKA AGRITECH LIMITED
DHARIWAL,DHARIWALCORP LIMITED
DHARMAJ,DHARMAJ CROP GUARD LIMITED
DHUNINV,DHUNSERI INVESTMENTS LIMITED
DIAMINESQ,DIAMINES & CHEMICALS LIMITED
DIAMONDYD,PRATAAP SNACKS LIMITED
DICIND,DIC INDIA LIMITED
DIFFNKG,DIFFUSION ENGINEERS LIMITED
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS LIMITED
DIGIKORE,DIGIKORE STUDIOS LIMITED
DIGJAMLMTD,DIGJAM LIMITED
DISAQ,DISA INDIA LIMITED
DIVGIITTS,DIVGI TORQTRANSFER SYSTEMS LIMITED
DIVIDEND,MIRAE ASSET MUTUAL FUND - MIRAE ASSET BSE 500 DIVIDEND LEADERS 50 ETF
DIVOPPBEES,NIPPON INDIA ETF NIFTY DIVIDEND OPPORTUNITIES 50
DKEGL,D.K. ENTERPRISES GLOBAL LIMITED
DLINKINDIA,D-LINK (INDIA) LIMITED
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA,DILIGENT MEDIA CORPORATION LIMITED
DODLA,DODLA DAIRY LIMITED
DOLATALGO,DOLAT ALGOTECH LIMITED
DOLLAR,DOLLAR INDUSTRIES LIMITED
DOLLEX,DOLLEX AGROTECH LIMITED
DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED
DONEAR,DONEAR INDUSTRIES LIMITED
DPABHUSHAN,D. P. ABHUSHAN LIMITED
DRAGARWQ,DR AGARWALS EYE HOSPITAL LIMITED
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED
DREAMFOLKS,DREAMFOLKS SERVICES LIMITED
DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED
DTIL,DHUNSERI TEA & INDUSTRIES LIMITED
DTL,DIENSTEN TECH LIMITED
DUCOL,DUCOL ORGANICS AND COLOURS LIMITED
DVL,DHUNSERI VENTURES LIMITED
DWARKESH,DWARIKESH SUGAR INDUSTRIES LIMITED
DYCL,DYNAMIC CABLES LIMITED
DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED
DYNPRO,DYNEMIC PRODUCTS LIMITED
EASEMYTRIP,EASY TRIP PLANNERS LIMITED
EBANKNIFTY,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY BANK ETF
EBBETF0430,EDELWEISS MUTUAL FUND - BHARAT BOND  ETF - APRIL 2030
EBBETF0431,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2031
EBBETF0433,EDELWEISS MUTUAL FUND - BHARAT BOND ETF-APRIL 2033
ECAPINSURE,EDELWEISS MUTUAL FUND - EDELWEISS BSE CAPITAL MARKETS & INSURANCE ETF
ECLERX,ECLERX SERVICES LIMITED
EEPL,EPPELTONE ENGINEERS LIMITED
EFACTOR,E FACTOR EXPERIENCES LIMITED
EFCIL,EFC (I) LIMITED
EGOLD,EDELWEISS MUTUAL FUND -EDELWEISS GOLD ETF
EIEL,ENVIRO INFRA ENGINEERS LIMITED
EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED
EKC,EVEREST KANTO CYLINDER LIMITED
ELANTAS,ELANTAS BECK INDIA LIMITED
ELCIDIN,ELCID INVESTMENTS LIMITED
ELDEHSG,ELDECO HOUSING AND INDUSTRIES LIMITED
ELECTCAST,ELECTROSTEEL CASTINGS LIMITED
ELIN,ELIN ELECTRONICS LIMITED
ELITECON,ELITECON INTERNATIONAL LIMITED
ELM250,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY LARGEMIDCAP 250 ETF
EMAMIPAP,EMAMI PAPER MILLS LIMITED
EMAPARTNER,EMA PARTNERS INDIA LIMITED
EMBASSY,EMBASSY OFFICE PARKS REIT
EMIL,ELECTRONICS MART INDIA LIMITED
EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LIMITED
EMKAYTOOLS,EMKAY TAPS AND CUTTING TOOLS LIMITED
EMMIL,ENERGY MISSION MACHINERIES (INDIA) LIMITED
EMUDHRA,EMUDHRA LIMITED
EMULTIMQ,EDELWEISS MF - EDELWEISS NIFTY500 MULTICAP MOMENTUM QUALITY 50 ETF
ENCOMPAS,ENCOMPASS DESIGN INDIA LIMITED
ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED
ENERGY,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY ENERGY ETF
ENERGYDEV,ENERGY DEVELOPMENT COMPANY LIMITED
ENEXT50,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY NEXT 50 ETF
ENFUSE,ENFUSE SOLUTIONS LIMITED
ENIFTY,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY 50 ETF
ENIL,ENTERTAINMENT NETWORK (INDIA) LIMITED
ENRIN,SIEMENS ENERGY INDIA LIMITED
ENTERO,ENTERO HEALTHCARE SOLUTIONS LIMITED
ENVIRO,ENVIROTECH SYSTEMS LIMITED
EPACK,EPACK DURABLE LIMITED
EPACKPEB,EPACK PREFAB TECHNOLOGIES LIMITED
EPIGRAL,EPIGRAL LIMITED
EPL,EPL LIMITED
EQUAL200,MIRAE ASSET MUTUAL FUND - MIRAE ASSET BSE 200 EQUAL WEIGHT ETF
EQUAL50,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY50 EQUAL WEIGHT ETF
EQUAL50ADD,DSP  MUTUAL FUND - DSP NIFTY 50 EQUAL WEIGHT ETF
EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED
ESABINDIA,ESAB INDIA LIMITED
ESAFSFB,ESAF SMALL FINANCE BANK LIMITED
ESCORTS,ESCORTS KUBOTA LIMITED
ESENSEX,EDELWEISS MUTUAL FUND - EDELWEISS BSE SENSEX ETF
ESG,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 100 ESG SECTOR LEADERS ETF
ESILVER,EDELWEISS MUTUAL FUND - EDELWEISS SILVER ETF
ESPRIT,ESPRIT STONES LIMITED
ESSARSHPNG,ESSAR SHIPPING LIMITED
ESTER,ESTER INDUSTRIES LIMITED
ETHOSLTD,ETHOS LIMITED
ETL,EMKAY TOOLS LIMITED
ETML,EMERALD TYRE MANUFACTURERS LIMITED
EUREKAFORB,EUREKA FORBES LIMITED
EUROBOND,EURO PANEL PRODUCTS LIMITED
EUROPRATIK,EURO PRATIK SALES LIMITED
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED
EVIETF,ICICI PRUDENTIAL MF-ICICI PRUDENTIAL NIFTY EV & NEW AGE AUTOMOTIVE ETF
EVINDIA,MIRAE ASSET MF - MIRAE ASSET NIFTY EV AND NEW AGE AUTOMOTIVE ETF
EXCELINDUS,EXCEL INDUSTRIES LIMITED
EXCELSOFT,EXCELSOFT TECHNOLOGIES LIMITED
EXICOM,EXICOM TELE-SYSTEMS LIMITED
EXIMROUTES,EXIM ROUTES LIMITED
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED
EXXARO,EXXARO TILES LIMITED
FABTECH,FABTECH TECHNOLOGIES LIMITED
FDC,FDC LIMITED
FEDDERSHOL,FEDDERS HOLDING LIMITEDFEDDERS HOLDING LIMITED
FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED
FELIX,FELIX INDUSTRIES LIMITED
FERMENTA,FERMENTA BIOTECH LIMITED
FIDEL,FIDEL SOFTECH LIMITED
FIEMIND,FIEM INDUSTRIES LIMITED
FILATEX,FILATEX INDIA LIMITED
FINEORG,FINE ORGANIC INDUSTRIES LIMITED
FINIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRU NIFTY FIN SER EX-BANK ETF
FINKURVE,FINKURVE FINANCIAL SERVICES LIMITED
FINOPB,FINO PAYMENTS BANK LIMITED
FINPIPE,FINOLEX INDUSTRIES LIMITED
FLEXIADD,DSP MUTUAL FUND - DSP NIFTY500 FLEXICAP QUALITY 30 ETF
FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED
FLYSBS,FLYSBS AVIATION LIMITED
FMCGADD,DSP MUTUAL FUND - DSP NIFTY FMCG ETF
FMCGIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL NIFTY FMCG ETF
FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LIMITED.
FOODSIN,FOODS & INNS LIMITED
FOSECOIND,FOSECO INDIA LIMITED
FRACTAL,FRACTAL ANALYTICS LIMITED
FRESHARA,FRESHARA AGRO EXPORTS LIMITED
FRONTSP,FRONTIER SPRINGS LIMITED
FUSION,FUSION FINANCE LIMITED
FWSTC,FLYWINGS SIMULATOR TRAINING CENTRE LIMITED
GAEL,GUJARAT AMBUJA EXPORTS LIMITED
GAJANAND,GAJANAND INTERNATIONAL LIMITED
GALAPREC,GALA PRECISION ENGINEERING LIMITED
GALAXYSURF,GALAXY SURFACTANTS LIMITED
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED
GANDHITUBE,GANDHI SPECIAL TUBES LIMITED
GANECOS,GANESHA ECOSPHERE LIMITED
GANESHBE,GANESH BENZOPLAST LIMITED
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED
GANESHHOU,GANESH HOUSING LIMITED
GANGESSECU,GANGES SECURITIES LIMITED
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED
GARUDA,GARUDA CONSTRUCTION AND ENGINEERING LIMITED
GATECH,GACM TECHNOLOGIES LIMITED
GATECHDVR,GACM TECHNOLOGIES LIMITED
GATEWAY,GATEWAY DISTRIPARKS LIMITED
GCSL,GRETEX CORPORATE SERVICES LIMITED
GEEKAYWIRE,GEEKAY WIRES LIMITED
GEMAROMA,GEM AROMATICS LIMITED
GENCON,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED
GENUSPAPER,GENUS PAPER & BOARDS LIMITED
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED
GENXAI,GENXAI ANALYTICS LIMITED
GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED
GFLLIMITED,GFL LIMITED
GGBL,GANESH GREEN BHARAT LIMITED
GHCL,GHCL LIMITED
GHCLTEXTIL,GHCL TEXTILES LIMITED
GICHSGFIN,GIC HOUSING FINANCE LIMITED
GICRE,GENERAL INSURANCE CORPORATION OF INDIA
GILLANDERS,GILLANDERS ARBUTHNOT & COMPANY LIMITED
GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED
GKSL,GUJARAT KIDNEY AND SUPER SPECIALITY LIMITED
GKWLIMITED,GKW LIMITED
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
GLOBAL,GLOBAL EDUCATION LIMITED
GLOBALVECT,GLOBAL VECTRA HELICORP LIMITED
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED
GLOBUSSPR,GLOBUS SPIRITS LIMITED
GLOSTERLTD,GLOSTER LIMITED
GMBREW,GM BREWERIES LIMITED
GMMPFAUDLR,GMM PFAUDLER LIMITED
GMRPUI,GMR POWER AND URBAN INFRA LIMITED
GNA,GNA AXLES LIMITED
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
GNRL,GUJARAT NATURAL RESOURCES LIMITED
GOACARBON,GOA CARBON LIMITED
GOCLCORP,GOCL CORPORATION LIMITED
GOCOLORS,GO FASHION (INDIA) LIMITED
GODAVARIB,GODAVARI BIOREFINERIES LIMITED
GODREJAGRO,GODREJ AGROVET LIMITED
GODREJIND,GODREJ INDUSTRIES LIMITED
GOKEX,GOKALDAS EXPORTS LIMITED
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED
GOKULAGRO,GOKUL AGRO RESOURCES LIMITED
GOLD1,KOTAK MUTUAL FUND - GOLD EXCHANGE TRADED FUND
GOLD360,360 ONE MUTUAL FUND - 360 ONE GOLD ETF
GOLDADD,DSP MUTUAL FUND - DSP GOLD ETF
GOLDAXIS,AXIS MUTUAL FUND - AXIS GOLD ETF
GOLDBEES,NIPPON INDIA ETF GOLD BEES
GOLDBETA,UTI MUTUAL FUND - UTI GOLD EXCHANGE TRADED FUND
GOLDBND,BANDHAN MUTUAL FUND - BANDHAN GOLD ETF
GOLDCASE,ZERODHA FUND HOUSE - ZERODHA GOLD ETF
GOLDETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET GOLD ETF
GOLDIAM,GOLDIAM INTERNATIONAL LIMITED
GOLDIETF,ICICI PRUDENTIAL GOLD ETF
GOODYEAR,GOODYEAR INDIA LIMITED
GOYALALUM,GOYAL ALUMINIUMS LIMITED
GOYALSALT,GOYAL SALT LIMITED
GPPL,GUJARAT PIPAVAV PORT LIMITED
GPTHEALTH,GPT HEALTHCARE LIMITED
GPTINFRA,GPT INFRAPROJECTS LIMITED
GRAUWEIL,GRAUER & WEIL (INDIA) LIMITED
GRAVISSHO,GRAVISS HOSPITALITY LIMITED
GREAVESCOT,GREAVES COTTON LIMITED
GREENLAM,GREENLAM INDUSTRIES LIMITED
GREENPANEL,GREENPANEL INDUSTRIES LIMITED
GREENPLY,GREENPLY INDUSTRIES LIMITED
GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED
GRINDWELL,GRINDWELL NORTON LIMITED
GRINFRA,G R INFRAPROJECTS LIMITED
GROBTEA,THE GROB TEA COMPANY LIMITED
GROWW,BILLIONBRAINS GARAGE VENTURES LIMITED
GROWWCAPM,GROWW MUTUAL FUND - GROWW NIFTY CAPITAL MARKETS ETF
GROWWCHEM,GROWW MUTUAL FUND - GROWW NIFTY CHEMICALS ETF
GROWWDEFNC,GROWW MUTUAL FUND - GROWW NIFTY INDIA DEFENCE ETF
GROWWEV,GROWW MUTUAL FUND - GROWW NIFTY EV & NEW AGE AUTOMOTIVE ETF
GROWWGOLD,GROWW MUTUAL FUND - GROWW GOLD ETF
GROWWHOSPI,GROWW MUTUAL FUND - GROWW BSE HOSPITALS ETF
GROWWLOVOL,GROWW MUTUAL FUND - GROWW NIFTY 500 LOW VOLATILITY 50 ETF
GROWWMC150,GROWW MUTUAL FUND - GROWW NIFTY MIDCAP 150 ETF
GROWWMETAL,GROWW MUTUAL FUND - GROWW NIFTY METAL ETF
GROWWMOM50,GROWW MUTUAL FUND - GROWW NIFTY 500 MOMENTUM 50 ETF
GROWWN200,GROWW MUTUAL FUND - GROWW NIFTY 200 ETF
GROWWNET,GROWW MUTUAL FUND - GROWW NIFTY INDIA INTERNET ETF
GROWWNIFTY,GROWW MUTUAL FUND - GROWW NIFTY 50 ETF
GROWWNXT50,GROWW MUTUAL FUND - GROWW NIFTY NEXT 50 ETF
GROWWPOWER,GROWW MUTUAL FUND - GROWW BSE POWER ETF
GROWWPSE,GROWW MUTUAL FUND - GROWW NIFTY PSE ETF
GROWWPSUBK,GROWW MUTUAL FUND - GROWW NIFTY PSU BANK ETF
GROWWRAIL,GROWW MUTUAL FUND - GROWW NIFTY INDIA RAILWAYS PSU ETF
GROWWRLTY,GROWW MUTUAL FUND - GROWW NIFTY REALTY ETF
GROWWSC250,GROWW MUTUAL FUND - GROWW NIFTY SMALLCAP 250 ETF
GROWWSLVR,GROWW MUTUAL FUND - GROWW SILVER ETF
GRPLTD,GRP LIMITED
GSEC10ABSL,ADITYABIRLASUNLIFEMF - ADITYA BIRLA SUN LIFE CRISIL 10 YEAR GILT ETF
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED
GSMFOILS,GSM FOILS LIMITED
GSPCROP,GSP CROP SCIENCE LIMITED
GTLINFRA,GTL INFRASTRUCTURE LIMITED
GTPL,GTPL HATHWAY LIMITED
GUFICBIO,GUFIC BIOSCIENCES LIMITED
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LIMITED
GUJTHEM,GUJARAT THEMIS BIOSYN LIMITED
GULFOILLUB,GULF OIL LUBRICANTS INDIA LIMITED
GULPOLY,GULSHAN POLYOLS LIMITED
GVPTECH,GVP INFOTECH LIMITED
GYFTR,GYFTR LIMITED
HALDER,HALDER VENTURE LIMITED
HALEOSLABS,HALEOS LABS LIMITED
HAPPSTMNDS,HAPPIEST MINDS TECHNOLOGIES LIMITED
HARDWYN,HARDWYN INDIA LIMITED
HARIOMPIPE,HARIOM PIPE INDUSTRIES LIMITED
HARRMALAYA,HARRISONS  MALAYALAM LIMITED
HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED
HATHWAY,HATHWAY CABLE & DATACOM LIMITED
HATSUN,HATSUN AGRO PRODUCT LIMITED
HAWKINCOOK,HAWKINS COOKERS LIMITED
HBESD,HB ESTATE DEVELOPERS LIMITED
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED
HCG,HEALTHCARE GLOBAL ENTERPRISES LIMITED
HCL-INSYS,HCL INFOSYSTEMS LIMITED
HDBFS,HDB FINANCIAL SERVICES LIMITED
HDFCBSE500,HDFC BSE 500 ETF
HDFCGOLD,HDFC GOLD ETF
HDFCGROWTH,HDFC MUTUAL FUND - HDFC NIFTY GROWTH SECTORS 15 ETF
HDFCLOWVOL,HDFC MUTUAL FUND - HDFC NIFTY100 LOW VOLATILITY 30 ETF
HDFCMID150,HDFC MUTUAL FUND - HDFC NIFTY MIDCAP 150 ETF
HDFCMOMENT,HDFC MUTUAL FUND - HDFC NIFTY200 MOMENTUM 30 ETF
HDFCNEXT50,HDFC MUTUAL FUND - HDFC NIFTY NEXT 50 ETF
HDFCNIF100,HDFC MUTUAL FUND - HDFC NIFTY 100 ETF
HDFCNIFBAN,HDFC NIFTY BANK ETF
HDFCNIFIT,HDFC MUTUAL FUND - HDFC NIFTY IT ETF
HDFCNIFTY,HDFC NIFTY 50 ETF
HDFCPSUBK,HDFC MUTUAL FUND -HDFC NIFTY PSU BANK ETF
HDFCPVTBAN,HDFC MUTUAL FUND - HDFC NIFTY PRIVATE BANK ETF
HDFCQUAL,HDFC MUTUAL FUND - HDFC NIFTY100 QUALITY 30 ETF
HDFCSENSEX,HDFC BSE SENSEX ETF
HDFCSILVER,HDFC MUTUAL FUND - HDFC SILVER ETF
HDFCSML250,HDFC MUTUAL FUND - HDFC NIFTY SMALLCAP 250 ETF
HDFCVALUE,HDFC MUTUAL FUND - HDFC NIFTY50 VALUE 20 ETF
HEADSUP,HEADS UP VENTURES LIMITED
HEALTHADD,DSP MUTUAL FUND - DSP NIFTY HEALTHCARE ETF
HEALTHAXIS,AXIS MUTUAL FUND - AXIS NIFTY HEALTHCARE ETF
HEALTHCARE,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 500 HEALTHCARE ETF
HEALTHIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL NIFTY HEALTHCARE ETF
HEALTHX,HEALTH X PLATFORM LIMITED
HEALTHY,ADITYA BIRLA SUN LIFE MF-ADITYA BIRLA SUN LIFE NIFTY HEALTHCARE ETF
HECPROJECT,HEC INFRA PROJECTS LIMITED
HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED
HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED
HERANBA,HERANBA INDUSTRIES LIMITED
HERITGFOOD,HERITAGE FOODS LIMITED
HESTERBIO,HESTER BIOSCIENCES LIMITED
HEXAGON,HEXAGON NUTRITION LIMITED
HEXT,HEXAWARE TECHNOLOGIES LIMITED
HGINFRA,H.G. INFRA ENGINEERING LIMITED
HGM,HANDSON GLOBAL MANAGEMENT (HGM) LIMITED
HGS,HINDUJA GLOBAL SOLUTIONS LIMITED
HIGREEN,HI-GREEN CARBON LIMITED
HIKAL,HIKAL LIMITED
HIMATSEIDE,HIMATSINGKA SEIDE LIMITED
HINDCOMPOS,HINDUSTAN COMPOSITES LIMITED
HINDOILEXP,HINDUSTAN OIL EXPLORATION COMPANY LIMITED
HINDWAREAP,HINDWARE HOME INNOVATION LIMITED
HIRECT,HIND RECTIFIERS LIMITED
HISARMETAL,HISAR METAL INDUSTRIES LIMITED
HITECH,HI-TECH PIPES LIMITED
HLEGLAS,HLE GLASCOAT LIMITED
HLVLTD,HLV LIMITED
HMAAGRO,HMA AGRO INDUSTRIES LIMITED
HMVL,HINDUSTAN MEDIA VENTURES LIMITED
HNDFDS,HINDUSTAN FOODS LIMITED
HNGSNGBEES,NIPPON INDIA ETF HANG SENG BEES
